"id","label","transcription"
"3889a67c-6b948c2a.mp3","satire","A veces no nos fijamos, parece que con darles de comer o darles dinero ya está bien, pero la humillación que supone para una familia que tiene que ir a pedir ese tipo de ayudas también deberíamos considerarla. Y no es lo mismo recibir una prestación pública de derecho con un dinero que te llega a tener que hacer cola en una fila del hambre que encima te llaman excluido, marginado o cosas parecidas."
"aeb4e7f5-0b1d0ac6.mp3","satire","Buenas noches, hoy en Documentos TV les ofreceremos un reportaje que mola mazo, con mogollón de música, titis por un tubo y peñita guay hablando igual que yo, muy clarito. El escalofriante reportaje se titula Adolescentes, somos el futuro imperfecto."
"49e38957-8400221a.mp3","no-satire","El grupo de países sudamericanos UNASUR discutirá en reunión de emergencia la negativa de varios países europeos de permitir el tránsito del avión del presidente de Bolivia Evo Morales, bajo sospechas que transportaba al fugitivo exagente de inteligencia estadounidense Edward Snowden. El mandatario fue recibido por una multitud en La Paz."
"cbadf2d7-b8874b6d.mp3","no-satire","15 días le ha dado el juez Santiago Pedraz al fundador de Go West para que reúna 600.000 euros y evite así entrar en la cárcel. Tras confesar en la audiencia nacional que falseó las cuentas de la compañía durante 4 años, Genaro García sale acusado de varios delitos que podrían acarrear 10 años de cárcel. García ha reconocido ante el magistrado que es el titular de una cuenta con 3 millones de euros en Lucemurgo."
"5dfe1dd7-9c90b9e2.mp3","no-satire","Hay un puñado de experimentos asignados a diferentes laboratorios subterráneos de todo el mundo. Ellos quieren ser los primeros en levantarse y decir, la hemos descubierto. Así que es muy competitivo. Quien tenga la suerte de descubrir la materia oscura, ganará sin duda un premio Nobel, absolutamente."
"4dfd24ac-d459c5c2.mp3","satire","Mientras no los tengas ahí arriba trepados en la camioneta, esa es la cosa. Eso es lo que va a haber hablado Xochitl. Xochitl Galvez dijo que en ciertos lugares iba a aceptar la ayuda del presidente, ¿no? Sí, los que están en peligro, como todo lo que es México. Como todo México, ¿no? Ah, como todo México. Vamos rápidamente con el video de Xochitl Galvez donde dice que va a aceptar la seguridad de la Sedena en zonas de alto riesgo como Culiacán, entre otros."
"9b027c7c-cbbb0bbc.mp3","no-satire","Este es el centro electoral del barrio de Doral, en el condado de Miami-Dade, uno de los centros más importantes de toda la Florida, que de hecho es un estado decisivo, uno de los llamados estados péndulo, donde puede ganar tanto Mitt Romney como Barack Obama y donde hay 29 delegados a juego que le van a venir muy bien a cualquiera de los dos candidatos."
"e8294a31-626b0f7d.mp3","satire","Las puertas del mítin que el Partido Popular ha organizado aquí en Madrid dentro de esa gira, de ese tour para protestar contra la reforma del delito de sedición es ahora mismo un asunto crucial para los populares. Vamos a ver cómo transcurre la mañana. ¿Por qué está usted hoy aquí?"
"d41d0ccc-fe62e3b8.mp3","no-satire","Cada año los guatemaltecos pasan semanas creando estos barriletes gigantes, algunos de los cuales pueden llegar a medir 18 metros. Recientemente se los pudo ver surcando los cielos de Ciudad de Guatemala, como parte del inicio de las celebraciones del Año Nuevo Maya, que culminarán en diciembre."
"77cd85aa-f2797683.mp3","satire","Pero lo de la ultraderecha a mí me parece un poco, con perdón, el que viene el lobo, porque todos conocemos la fábula del lobo."
"fe5ce030-59c49cbc.mp3","no-satire","Sushi como forma de arte. En las manos del artista Takayo Kiyoto, el plato tradicional japonés de arroz y cebolla se convierte en una canvás. Sus obras incluyen versiones de sushi de famosas pinturas y rolas que revelan una imagen diferente con cada corte. Ahora está compartiendo sus habilidades a través de los trabajos."
"497698ef-6335326e.mp3","no-satire","Más noticias. La madre era la responsable de la radicalización de sus hijos hacia el yihadismo. Hablamos de la familia detenida ayer en Badarona. El juez Pablo Ruz ha ordenado prisión para la madre que iba a enviar a Siria a sus dos hijos de solo 16 años. Su marido sigue imputado pero ha sido puesto en libertad. Vamos a la Audiencia Nacional, Marina Monzón."
"23a2f1c4-322f0242.mp3","no-satire","A medida que pasan las horas vamos conociendo algo más a ese joven obsesionado con volar en los Alpes y con problemas mentales. Además ocultó deliberadamente a la compañía para la que trabajaba este asunto. En los registros en su domicilio en Düsseldorf, los investigadores han hallado varios partes médicos que Lubitsch nunca llegó a entregar. Nuestra compañera María Miñana ha estado siguiendo esas actuaciones de la policía. Veamos qué otros datos han obtenido María."
"e69060f8-2ddfa35d.mp3","no-satire","Hoy es lunes, estamos ya de lleno en la Semana Santa y ha lucido el sol durante toda la tarde. Esto significa que pasos y procesiones han podido salir a la calle con normalidad. El pasado año, tal día como hoy, la lluvia impidió en buena parte de Castilla y León que se pudiese celebrar la tradición del lunes santo. Enseguida estamos en algunas de estas procesiones que llevaban ya un par de años sin celebrarse por la lluvia."
"fb8ccf0c-e9b04b49.mp3","satire","¡Claro que sí! Aquí estamos en Ayatú, que estamos pues eso, que tiramos la casa por la ventana. La directora es que ya no sabe qué hacer para subir la audiencia, como si mi sola presencia no bastase. En fin, que hoy tenemos pues eso, a dos concursantes de lo más garrulo que te puedas encontrar en el mundo. Con todos nosotros demos un fuerte aplauso a Jessy Rubén. ¡Claro!"
"b1373891-33522ea4.mp3","no-satire","Pero eso fue hace un año. Desde entonces la intervención sobre el mural no ha hecho sino atraer turistas a esta pequeña localidad cerca de Zaragoza, en el noreste de España. Las autoridades decidieron sacar partido, cobrando un euro por la entrada a la iglesia. Y Jiménez se ha vuelto una celebridad local."
"b911ef38-f611d475.mp3","satire","En un perro mensaje de ocho interminables minutos se le pasó, sin querer, el pequeño detalle de condenar un acto tan cruel, por lo que la embajadora publicó un comunicado para decirle que el rompope estaba muy aguado y que si por favor le podía echar un poquito más de huevos, porque Gaza está muy lejos y si ya va a decir Mary Jane, pues por lo menos que la diga más fuerte."
